ad_group.targeting_info.interest,ad_group.targeting_info.number_of_users_targeted,ad_group.targeting_info.video_interactions,ad_group.targeting_info.age.35-44,ad_group.targeting_info.age.45-54,ad_group.targeting_info.age.55+,ad_group.targeting_info.age.13-17,ad_group.targeting_info.age.18-24,ad_group.targeting_info.age.25-34,ad_group.targeting_info.audience_targeting,ad_group.targeting_info.country,ad_group.targeting_info.creator_interactions,ad_group.targeting_info.gender.female,ad_group.targeting_info.gender.male,ad_group.targeting_info.gender.other_genders,ad.id,ad.reach.unique_users_seen,ad.reach.unique_users_seen_by_country.DK,ad.reach.unique_users_seen_by_country.FI,ad.reach.unique_users_seen_by_country.IT,ad.reach.unique_users_seen_by_country.NL,ad.reach.unique_users_seen_by_country.CZ,ad.reach.unique_users_seen_by_country.BE,ad.reach.unique_users_seen_by_country.ES,ad.reach.unique_users_seen_by_country.IE,ad.reach.unique_users_seen_by_country.SE,ad.reach.unique_users_seen_by_country.AT,ad.reach.unique_users_seen_by_country.NO,ad.reach.unique_users_seen_by_country.DE,ad.reach.unique_users_seen_by_country.GR,ad.reach.unique_users_seen_by_country.PT,ad.reach.unique_users_seen_by_country.RO,ad.reach.unique_users_seen_by_country.CH,ad.reach.unique_users_seen_by_country.GB,ad.reach.unique_users_seen_by_country.FR,ad.reach.unique_users_seen_by_country.HU,ad.reach.unique_users_seen_by_country.PL
,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,1776307088392242,10M-20M,38K,478K,8.0M,165K,1.3M,490K,6.9M,121K,60K,166K,,,,,,,,,,
,200.1M-244.6M,,True,True,True,False,True,True,No,"['NL', 'CZ', 'IT', 'GR', 'FI', 'RO', 'DK', 'IE', 'GB', 'CH', 'DE', 'NO', 'PT', 'SE', 'BE', 'AT']",,True,True,True,1753834789213233,10M-20M,448K,259K,1.5M,1.1M,384K,657K,,428K,851K,513K,561K,2.7M,383K,427K,851K,522K,4.8M,,,
,27.8M-34.0M,Entertainment,True,True,True,False,False,True,No,"['ES', 'GB', 'DE', 'IT']",Talent,True,True,True,1763792178958354,10M-20M,,,4.4M,,,,4.5M,,,,,3.6M,,,,,3.1M,,,
,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,1776997064735793,10M-20M,37K,410K,6.8M,166K,1.2M,440K,5.8M,102K,56K,153K,,,,,,,,,,
,,,True,True,True,False,True,True,No,"['IT', 'GR', 'AT', 'HU', 'IE', 'PT', 'CZ', 'FI', 'CH', 'DK', 'NL', 'RO', 'SE', 'BE', 'FR', 'NO', 'ES']",,True,True,True,1780531640408097,10M-20M,76K,228K,2.9M,555K,343K,441K,2.4M,181K,192K,320K,125K,,903K,475K,1.8M,255K,,1.9M,668K,
,,,True,True,True,False,True,True,No,"['CH', 'NL', 'FR', 'IT', 'CZ', 'RO', 'GR', 'DK', 'ES', 'IE', 'BE', 'PT', 'FI', 'NO', 'SE', 'HU', 'AT']",,True,True,True,1777368392966177,10M-20M,79K,228K,2.9M,548K,380K,346K,2.5M,178K,196K,306K,126K,,818K,510K,1.9M,220K,,1.4M,738K,
,,,True,True,True,False,True,True,No,['DE'],,True,True,True,1776757321591842,10M-20M,,,,,,,,,,,,13.5M,,,,,,,,
Travel,13.5M-16.5M,,True,True,True,False,True,True,No,['FR'],,True,True,True,1767336884647969,10M-20M,,,,,,,,,,,,,,,,,,15.7M,,
,180.2M-220.3M,,True,True,True,False,True,True,No,"['PL', 'DE', 'BE', 'FI', 'IE', 'ES', 'NL', 'NO', 'SE', 'AT', 'HU', 'GB', 'CH', 'IT', 'FR']",,True,True,True,1754736720243826,10M-20M,,196K,1.5M,730K,,430K,1.4M,267K,496K,302K,287K,1.4M,,,,288K,2.2M,1.7M,491K,1.4M
,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,1780031997939730,10M-20M,36K,396K,7.2M,2K,0-1K,16K,5.6M,58K,55K,101K,,,,,,,,,,
,24.7M-30.1M,,True,True,True,False,True,True,No,['GB'],,True,True,True,1770786967271441,10M-20M,,,,,,,,,,,,,,,,,13.0M,,,
,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,1780032179072018,10M-20M,33K,344K,6.3M,0-1K,0-1K,0-1K,5.4M,49K,46K,68K,,,,,,,,,,
,137.8M-168.5M,,True,True,True,False,True,True,No,"['FR', 'NL', 'DE', 'IE', 'DK', 'NO', 'RO', 'HU', 'GR', 'BE', 'CH', 'CZ', 'SE', 'AT', 'IT', 'FI', 'ES']",,True,True,True,1769245926726658,10M-20M,424K,318K,1.3M,673K,395K,553K,1.5M,477K,649K,314K,381K,1.2M,1.1M,,1.0M,345K,,978K,519K,
Travel,14.0M-17.1M,,True,True,True,False,True,True,No,['GB'],,True,True,True,1767328184045618,10M-20M,,,,,,,,,,,,,,,,,12.0M,,,
Travel,13.8M-16.9M,,True,True,True,False,True,True,No,['DE'],,True,True,True,1767582691011681,10M-20M,,,,,,,,,,,,12.0M,,,,,,,,
Travel,13.8M-16.9M,,True,True,True,False,True,True,No,['DE'],,True,True,True,1767582690343985,10M-20M,,,,,,,,,,,,11.9M,,,,,,,,
Travel,14.0M-17.1M,,True,True,True,False,True,True,No,['GB'],,True,True,True,1766633370418193,10M-20M,,,,,,,,,,,,,,,,,11.9M,,,
,,,True,True,True,True,True,True,No,"['HU', 'PT', 'RO', 'FR', 'DE', 'GR']",,True,True,True,1776307021958178,10M-20M,,,,,,,,,,,,243K,2.2M,1.8M,5.4M,,,365K,1.9M,
,33.7M-41.2M,,True,True,False,False,True,True,No,['GB'],,True,True,True,1755553416513586,10M-20M,,,,,,,,,,,,,,,,,11.7M,,,
,,,True,True,True,False,True,True,No,['FR'],,True,True,True,1779918731413506,10M-20M,,,,,,,,,,,,,,,,,,11.6M,,
,39.2M-47.9M,,True,True,True,False,True,True,No,['GB'],,True,True,True,1758727785943073,10M-20M,,,,,,,,,,,,,,,,,11.4M,,,
,,,True,True,True,True,True,True,No,"['NL', 'ES', 'SE', 'BE', 'IE', 'FI', 'AT', 'CZ', 'IT', 'DK']",,True,True,True,1776307107963954,10M-20M,9K,348K,5.4M,19K,774K,57K,4.5M,42K,17K,50K,,,,,,,,,,
