ad.id,ad.last_shown_date,ad.status,ad.first_shown_date,advertiser.business_name,ad_group.targeting_info.interest,ad_group.targeting_info.video_interactions,ad_group.targeting_info.age.35-44,ad_group.targeting_info.age.45-54,ad_group.targeting_info.age.55+,ad_group.targeting_info.age.13-17,ad_group.targeting_info.age.18-24,ad_group.targeting_info.age.25-34,ad_group.targeting_info.audience_targeting,ad_group.targeting_info.country,ad_group.targeting_info.creator_interactions,ad_group.targeting_info.gender.female,ad_group.targeting_info.gender.male,ad_group.targeting_info.gender.other_genders,ad.reach.unique_users_seen_by_country.DK,ad.reach.unique_users_seen_by_country.FI,ad.reach.unique_users_seen_by_country.IT,ad.reach.unique_users_seen_by_country.NL,ad.reach.unique_users_seen_by_country.CZ,ad.reach.unique_users_seen_by_country.BE,ad.reach.unique_users_seen_by_country.ES,ad.reach.unique_users_seen_by_country.IE,ad.reach.unique_users_seen_by_country.SE,ad.reach.unique_users_seen_by_country.AT,ad.reach.unique_users_seen_by_country.NO,ad.reach.unique_users_seen_by_country.DE,ad.reach.unique_users_seen_by_country.GR,ad.reach.unique_users_seen_by_country.PT,ad.reach.unique_users_seen_by_country.RO,ad.reach.unique_users_seen_by_country.CH,ad.reach.unique_users_seen_by_country.GB,ad.reach.unique_users_seen_by_country.FR,ad.reach.unique_users_seen_by_country.HU,ad.reach.unique_users_seen_by_country.PL,min_number_of_users_targeted,max_number_of_users_targeted,ad_reach_unique_user_sum,ad_shown_duration_days
1776307088392242,2023-11-17,active,2023-09-06,International Federation of Red Cross and Red Crescent Societies,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,38000,478000,8000000,165000,1300000,490000,6900000,121000,60000,166000,0,0,0,0,0,0,0,0,0,0,,,17718000,72
1753834789213233,2023-04-17,active,2023-01-01,"BEIJING JIANG YU INTERACTIVE TECHNOLOGY CO., LTD.",,,True,True,True,False,True,True,No,"['NL', 'CZ', 'IT', 'GR', 'FI', 'RO', 'DK', 'IE', 'GB', 'CH', 'DE', 'NO', 'PT', 'SE', 'BE', 'AT']",,True,True,True,448000,259000,1500000,1100000,384000,657000,0,428000,851000,513000,561000,2700000,383000,427000,851000,522000,4800000,0,0,0,200100000.0,244600000.0,16384000,106
1763792178958354,2023-04-28,active,2023-04-21,Ampsuite,,Entertainment,True,True,True,False,False,True,No,"['ES', 'GB', 'DE', 'IT']",Talent,True,True,True,0,0,4400000,0,0,0,4500000,0,0,0,0,3600000,0,0,0,0,3100000,0,0,0,27800000.0,34000000.0,15600000,7
1776997064735793,2023-11-13,active,2023-09-14,International Federation of Red Cross and Red Crescent Societies,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,37000,410000,6800000,166000,1200000,440000,5800000,102000,56000,153000,0,0,0,0,0,0,0,0,0,0,,,15164000,60
1780531640408097,2023-11-21,active,2023-10-23,"TOP GAMES US, INC.",,,True,True,True,False,True,True,No,"['IT', 'GR', 'AT', 'HU', 'IE', 'PT', 'CZ', 'FI', 'CH', 'DK', 'NL', 'RO', 'SE', 'BE', 'FR', 'NO', 'ES']",,True,True,True,76000,228000,2900000,555000,343000,441000,2400000,181000,192000,320000,125000,0,903000,475000,1800000,255000,0,1900000,668000,0,,,13762000,29
1777368392966177,2023-10-13,active,2023-09-18,"TOP GAMES US, INC.",,,True,True,True,False,True,True,No,"['CH', 'NL', 'FR', 'IT', 'CZ', 'RO', 'GR', 'DK', 'ES', 'IE', 'BE', 'PT', 'FI', 'NO', 'SE', 'HU', 'AT']",,True,True,True,79000,228000,2900000,548000,380000,346000,2500000,178000,196000,306000,126000,0,818000,510000,1900000,220000,0,1400000,738000,0,,,13373000,25
1776757321591842,2023-11-05,active,2023-09-13,Mondelez Deutschland Services GmbH & Co. KG,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,13500000,0,0,0,0,0,0,0,0,,,13500000,53
1767336884647969,2023-07-23,active,2023-06-05,Booking.com B.V.,Travel,,True,True,True,False,True,True,No,['FR'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15700000,0,0,13500000.0,16500000.0,15700000,48
1754736720243826,2023-06-27,active,2023-01-11,Metacore Games Oy,,,True,True,True,False,True,True,No,"['PL', 'DE', 'BE', 'FI', 'IE', 'ES', 'NL', 'NO', 'SE', 'AT', 'HU', 'GB', 'CH', 'IT', 'FR']",,True,True,True,0,196000,1500000,730000,0,430000,1400000,267000,496000,302000,287000,1400000,0,0,0,288000,2200000,1700000,491000,1400000,180200000.0,220300000.0,13087000,167
1780031997939730,2023-11-22,active,2023-10-17,International Federation of Red Cross and Red Crescent Societies,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,36000,396000,7200000,2000,1000,16000,5600000,58000,55000,101000,0,0,0,0,0,0,0,0,0,0,,,13465000,36
1770786967271441,2023-10-20,active,2023-07-07,"Scopely, Inc.",,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000,0,0,0,24700000.0,30100000.0,13000000,105
1780032179072018,2023-11-13,active,2023-10-17,International Federation of Red Cross and Red Crescent Societies,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,33000,344000,6300000,1000,1000,1000,5400000,49000,46000,68000,0,0,0,0,0,0,0,0,0,0,,,12243000,27
1769245926726658,2023-10-30,active,2023-06-21,TECHPEAK FZE,,,True,True,True,False,True,True,No,"['FR', 'NL', 'DE', 'IE', 'DK', 'NO', 'RO', 'HU', 'GR', 'BE', 'CH', 'CZ', 'SE', 'AT', 'IT', 'FI', 'ES']",,True,True,True,424000,318000,1300000,673000,395000,553000,1500000,477000,649000,314000,381000,1200000,1100000,0,1000000,345000,0,978000,519000,0,137800000.0,168500000.0,12126000,131
1767328184045618,2023-06-25,active,2023-05-30,Booking.com B.V.,Travel,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000,0,0,0,14000000.0,17100000.0,12000000,26
1767582691011681,2023-06-25,active,2023-06-05,Booking.com B.V.,Travel,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,12000000,0,0,0,0,0,0,0,0,13800000.0,16900000.0,12000000,20
1767582690343985,2023-06-25,active,2023-06-05,Booking.com B.V.,Travel,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,11900000,0,0,0,0,0,0,0,0,13800000.0,16900000.0,11900000,20
1766633370418193,2023-06-25,active,2023-05-30,Booking.com B.V.,Travel,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11900000,0,0,0,14000000.0,17100000.0,11900000,26
1776307021958178,2023-11-13,active,2023-09-06,International Federation of Red Cross and Red Crescent Societies,,,True,True,True,True,True,True,No,"['HU', 'PT', 'RO', 'FR', 'DE', 'GR']",,True,True,True,0,0,0,0,0,0,0,0,0,0,0,243000,2200000,1800000,5400000,0,0,365000,1900000,0,,,11908000,68
1755553416513586,2023-02-26,active,2023-01-30,AMAZON UK SERVICES LTD.,,,True,True,False,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11700000,0,0,0,33700000.0,41200000.0,11700000,27
1779918731413506,2023-10-29,active,2023-10-18,GROUPE CANAL+ SA,,,True,True,True,False,True,True,No,['FR'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11600000,0,0,,,11600000,11
1758727785943073,2023-06-13,active,2023-02-24,"Smile Direct Club-UK, LTD,",,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11400000,0,0,0,39200000.0,47900000.0,11400000,109
1776307107963954,2023-10-17,active,2023-09-06,International Federation of Red Cross and Red Crescent Societies,,,True,True,True,True,True,True,No,"['NL', 'ES', 'SE', 'BE', 'IE', 'FI', 'AT', 'CZ', 'IT', 'DK']",,True,True,True,9000,348000,5400000,19000,774000,57000,4500000,42000,17000,50000,0,0,0,0,0,0,0,0,0,0,,,11216000,41
1773841709180930,2023-10-08,active,2023-08-10,Mondelez Deutschland Services GmbH & Co. KG,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,11300000,0,0,0,0,0,0,0,0,,,11300000,59
1779452117916721,2023-11-22,active,2023-10-13,Mars GmbH,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,11300000,0,0,0,0,0,0,0,0,,,11300000,40
1764044216919042,2023-11-22,active,2023-04-24,"Scopely, Inc.",,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11200000,0,0,0,24700000.0,30100000.0,11200000,212
1766882989998130,2023-11-22,active,2023-05-29,"WALT DISNEY COMPANY, THE",,,True,True,True,False,True,True,No,"['IE', 'GB']",,True,True,True,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,9800000,0,0,0,26500000.0,32400000.0,11000000,177
1773841709189154,2023-10-08,active,2023-08-10,Mondelez Deutschland Services GmbH & Co. KG,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,11000000,0,0,0,0,0,0,0,0,,,11000000,59
1779452117912625,2023-11-22,active,2023-10-13,Mars GmbH,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,11100000,0,0,0,0,0,0,0,0,,,11100000,40
1763610844501042,2023-04-29,active,2023-04-27,SEAT MOTOR ESPAÑA SA,,,True,True,True,True,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,10900000,0,0,0,0,0,0,0,0,44700000.0,54700000.0,10900000,2
1759707200842770,2023-03-14,active,2023-03-07,QATAR AIRWAYS GROUP Q.C.S.C,"Travel, Pets, Apparel & Accessories, News & Entertainment, Education",,True,True,True,False,True,True,No,['FR'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800000,0,0,14500000.0,17800000.0,10800000,7
1773841709172770,2023-10-08,active,2023-08-10,Mondelez Deutschland Services GmbH & Co. KG,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,10900000,0,0,0,0,0,0,0,0,,,10900000,59
1774849212416050,2023-10-25,active,2023-08-22,Urban Technology GmbH,,,True,True,True,False,True,True,No,['ES'],,True,True,True,0,0,0,0,0,0,10800000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10800000,64
1778299136924753,2023-11-15,active,2023-09-29,NATWEST HOLDINGS LIMITED,,,True,True,True,True,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800000,0,0,0,,,10800000,47
1776735946201090,2023-11-22,active,2023-09-11,Mondelez Deutschland Services GmbH & Co. KG,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,10800000,0,0,0,0,0,0,0,0,,,10800000,72
1773841709185074,2023-10-08,active,2023-08-10,Mondelez Deutschland Services GmbH & Co. KG,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,10700000,0,0,0,0,0,0,0,0,,,10700000,59
1780570234762289,2023-10-31,active,2023-10-24,Spark Foundry,,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10600000,0,0,0,,,10600000,7
1778299161879569,2023-11-15,active,2023-09-29,NATWEST HOLDINGS LIMITED,,,True,True,True,True,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10600000,0,0,0,,,10600000,47
1766967447432209,2023-06-30,active,2023-05-31,PROCTER & GAMBLE LIMITED,,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500000,0,0,0,39200000.0,47900000.0,10500000,30
1776756492991521,2023-11-22,active,2023-09-13,Mondelez Deutschland Services GmbH & Co. KG,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,10600000,0,0,0,0,0,0,0,0,,,10600000,70
1780581572249633,2023-10-25,active,2023-10-24,"Nike, Inc.",,,True,True,True,True,True,True,No,['FR'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10400000,0,0,,,10400000,1
1776997049160722,2023-11-20,active,2023-09-14,International Federation of Red Cross and Red Crescent Societies,,,True,True,True,True,True,True,No,"['HU', 'PT', 'RO', 'FR', 'DE', 'GR']",,True,True,True,0,0,0,0,0,0,0,0,0,0,0,227000,1700000,1400000,4900000,0,0,284000,1800000,0,,,10311000,67
1777036377273361,2023-09-29,active,2023-09-18,PEPSICO INTERNATIONAL LIMITED,,,True,False,False,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800000,0,0,0,,,10800000,11
1780898535890977,2023-11-08,active,2023-10-27,PEPSICO INC,,,True,True,True,False,True,True,No,['ES'],,True,True,True,0,0,0,0,0,0,10100000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10100000,12
1782469663173650,2023-11-22,active,2023-11-15,MARS WRIGLEY CONFECTIONERY UK LIMITED,,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10600000,0,0,0,,,10600000,7
1767517829274642,2023-06-06,active,2023-06-04,AMAZON UK SERVICES LTD.,,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,39200000.0,47900000.0,10000000,2
1773841709193234,2023-10-08,active,2023-08-10,Mondelez Deutschland Services GmbH & Co. KG,,,True,True,True,False,True,True,No,['DE'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,0,0,0,,,10000000,59
1766965818716209,2023-06-30,active,2023-05-31,PROCTER & GAMBLE LIMITED,,,True,True,True,False,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,39200000.0,47900000.0,10000000,30
1763611629723697,2023-04-29,active,2023-04-27,SEAT MOTOR ESPAÑA SA,,,True,True,True,True,True,True,No,['GB'],,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,40700000.0,49800000.0,10000000,2
1759729930084386,2023-08-21,active,2023-03-08,Miniclip S.A.,,,True,True,True,False,True,True,No,"['AT', 'NO', 'FI', 'NL', 'IT', 'ES', 'DE', 'SE', 'CH', 'FR']",,True,True,True,0,192000,1300000,867000,0,0,1600000,0,658000,440000,388000,2800000,0,0,0,538000,0,2900000,0,0,94700000.0,115700000.0,11683000,166
1778263210275874,2023-11-22,active,2023-09-28,Cider Holding Limited,,,True,False,False,True,True,True,No,"['DK', 'CH', 'NL', 'SE', 'NO', 'DE', 'FR', 'IE', 'BE', 'AT']",,True,False,False,375000,0,0,1000000,0,598000,0,478000,782000,399000,412000,2800000,0,0,0,405000,0,2700000,0,0,,,9949000,55
